adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/aPQsU3yLDUOhLJYnSqkhKRkQTAw.jpg,"[18, 36]",467244,en,The Zone of Interest,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",95.131,/hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg,2023-12-15,The Zone of Interest,False,7.1,1714
False,/ou1mmzUkFEgGp6b2ghMpW8FlHG4.jpg,"[10751, 16, 12, 35, 14]",330457,en,Frozen II,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",110.806,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,2019-11-20,Frozen II,False,7.3,9680
False,/hpgda6P9GutvdkDX5MUJ92QG9aj.jpg,"[28, 12, 35]",384018,en,Fast & Furious Presents: Hobbs & Shaw,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",93.788,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg,2019-08-01,Fast & Furious Presents: Hobbs & Shaw,False,6.86,7161
False,/rH0DPF7pB35jxLxKb3JRUgCrrnp.jpg,"[10751, 14, 16, 10749]",11224,en,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",77.029,/4nssBcQUBadCTBjrAkX46mVEKts.jpg,1950-02-22,Cinderella,False,7.043,6675
False,/d1RHScaZc7I8j0lDke1c4AxI435.jpg,"[28, 12, 16, 10751, 35]",9502,en,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",93.528,/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,2008-06-04,Kung Fu Panda,False,7.3,11536
False,/s6Fc6Dq55XYPL16GMoipJh8MVG4.jpg,[28],1329912,en,Kung Fu Games,"Notorious fighters are trapped in lethal martial arts games by a sadistic magnate. Armed only with their combat skills, they face brutal battles for survival in a deadly kill-or-be-killed showdown.",118.881,/yjDdBBUEBMvyUiVohZ8T7W2IFl6.jpg,2024-08-23,Kung Fu Games,False,6.0,21
False,/vFm4pF0BgaWPj0i2zEiZO6TqEQ0.jpg,"[53, 28]",260346,en,Taken 3,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",97.254,/vzvMXMypMq7ieDofKThsxjHj9hn.jpg,2014-12-16,Taken 3,False,6.3,5714
False,/oLsts7ct0NVkdYpx5rZg10MG6zh.jpg,[18],489,en,Good Will Hunting,"When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.",78.454,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,1997-12-05,Good Will Hunting,False,8.158,12314
False,/pcDc2WJAYGJTTvRSEIpRZwM3Ola.jpg,"[28, 12, 14]",791373,en,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",86.964,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,2021-03-18,Zack Snyder's Justice League,False,8.1,9952
False,/8YURPHUqD2ODIffxPf8sG5l5UC7.jpg,"[12, 36, 10752]",652,en,Troy,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.",79.184,/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,2004-05-13,Troy,False,7.162,10105
