,id,overview,popularity,release_date,title,vote_average,vote_count,budget,genres,imdb_id,production_companies,production_countries,runtime,tagline,spoken_languages,domestic_opening,domestic_gross,asia_pacific_opening,asia_pacific_gross,europe_middle_east_and_africa_opening,europe_middle_east_and_africa_gross,latin_america_opening,latin_america_gross,domestic,international,worldwide
314,35019,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",100.381,2010-03-26,Nanny McPhee and the Big Bang,6.297,1816,35000000,"Comedy, Fantasy, Family",tt1415283,"Three Strange Angels, Relativity Media, Working Title Films, StudioCanal, Working Title Films","United States of America, United Kingdom, France",109,"The magic's back, warts and all.",English,8407685.0,29011215.0,2086870.0,10656337.0,9180456.0,44689464.0,1120587.0,5102075.0,29011215.0,64239906.0,93251121.0
315,161,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",113.176,2001-12-07,Ocean's Eleven,7.445,11528,85000000,"Thriller, Crime",tt0240772,"Warner Bros. Pictures, Village Roadshow Pictures, NPV Entertainment, Jerry Weintraub Productions, Section Eight",United States of America,116,Are you in or out?,"Italiano, English",38107822.0,183417150.0,2641226.0,73030866.0,8022112.0,128393934.0,0.0,16127566.0,183417150.0,267300000.0,450717150.0
316,11283,"Widower Cedric Brown hires Nanny McPhee to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor, Lady Adelaide Stitch, threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.",74.363,2005-10-21,Nanny McPhee,6.7,3009,25000000,"Fantasy, Comedy, Family",tt0396752,"Metro-Goldwyn-Mayer, Three Strange Angels, Nanny McPhee Productions, Working Title Films, StudioCanal, Universal Pictures","France, United Kingdom, United States of America",97,You'll learn to love her. Warts and all.,English,14503650.0,47144110.0,3129387.0,13420704.0,8014722.0,57478394.0,0.0,5233599.0,47144110.0,76132697.0,123276807.0
317,297,"William Parrish, media tycoon and loving father, is about to celebrate his 65th birthday. One morning, he is contacted by the inevitable, by hallucination, as he thinks. Later, Death enters his home and his life, personified in human form as Joe Black. His intention was to take William with him, but accidentally, Joe and William's beautiful daughter Susan have already met. Joe begins to develop certain interest in life on Earth, as well as in Susan, who has no clue with whom she's flirting.",65.532,1998-11-12,Meet Joe Black,7.343,5138,90000000,"Fantasy, Drama, Romance",tt0119643,"Universal Pictures, City Light Films",United States of America,178,Sooner or later everyone does.,"Nederlands, English",15017995.0,44619100.0,,,,,,,44619100.0,98321000.0,142940100.0
318,1016346,Elite Bangladeshi CIA agent Masud Rana – codename MR-9 – teams up with an American CIA operative to bring down an international criminal organization headed by a ruthless businessman.,73.568,2023-08-25,MR-9: Do or Die,6.5,155,6700000,"Action, Drama, Thriller",tt9044418,"Jaaz Multimedia, Al Bravo Films, Avail Entertainment, Snakebyte Productions and Entertainment Group, Chasing Butterflies Pictures, The Film Post","Bangladesh, United States of America",107,The world dies tomorrow.,"বাংলা, English",31000.0,49224.0,15360.0,26473.0,23171.0,34009.0,,,49224.0,60482.0,109706.0
319,38575,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",79.897,2010-06-10,The Karate Kid,6.5,5948,40000000,"Action, Adventure, Drama, Family",tt1155076,"Jerry Weintraub Productions, Columbia Pictures, Overbrook Entertainment, China Film Group Corporation, Emperor Motion Pictures","China, Hong Kong, United States of America",140,A Challenge He Never Imagined. A Teacher He Never Expected.,"普通话, English",55665805.0,176591618.0,14258029.0,53576894.0,26538364.0,82070840.0,7365609.0,31155061.0,176591618.0,182534404.0,359126022.0
320,951491,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",79.77,2023-09-27,Saw X,7.2,1938,13000000,"Horror, Mystery, Thriller",tt21807222,"Twisted Pictures, Lionsgate",United States of America,118,Witness the return of Jigsaw.,"English, Español",18309301.0,53607898.0,2242422.0,5835600.0,10618646.0,36947630.0,5555416.0,15811352.0,53607898.0,58594582.0,112202480.0
321,10138,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",79.678,2010-04-28,Iron Man 2,6.844,20898,200000000,"Adventure, Action, Science Fiction",tt1228705,"Marvel Studios, Fairview Entertainment, Marvel Entertainment",United States of America,124,"It's not the armor that makes the hero, but the man inside.","English, Pусский, Français",128122480.0,312433331.0,42428121.0,113034092.0,42235673.0,114849780.0,15347336.0,45836559.0,312433331.0,311500000.0,623933331.0
322,493529,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",79.509,2023-03-23,Dungeons & Dragons: Honor Among Thieves,7.357,3556,151000000,"Adventure, Fantasy, Comedy",tt2906216,"Entertainment One, Paramount Pictures","Canada, United States of America",134,No experience necessary.,English,37205784.0,93277026.0,220817.0,24394277.0,12297363.0,62525061.0,2465893.0,13022018.0,93277026.0,111910737.0,205187763.0
323,413846,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",79.39,2024-08-29,1992,5.841,22,0,"Crime, Thriller",tt4959750,"Trident Films, Death Row Pictures, Kodiak Pictures, Sumatra Films",United States of America,96,Every city has a breaking point.,English,1418905.0,2906073.0,,,,,,,2906073.0,0.0,2906073.0
