popularity,title,vote_average,vote_count,budget,imdb_id,runtime,years_from_release,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,domestic,international,worldwide
60.472,Dune,6.2,3018,40000000,tt0087182,137,40,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,30925690.0,55301.0,30985338.0
48.471,The Naked Gun: From the Files of Police Squad!,7.252,3651,12000000,tt0095705,86,36,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,78756177.0,0.0,78756177.0
44.975,Annabelle: Creation,6.6,5577,15000000,tt5140878,110,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,102092201.0,204500000.0,306592201.0
76.665,A Little Something Extra,7.266,520,6400000,tt30795948,89,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,84035239.0,84035239.0
76.64,Greenland,7.134,4491,34000000,tt7737786,120,4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0,52300000.0,52300000.0
76.538,Angel Has Fallen,6.586,3455,40000000,tt6189022,122,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,69030436.0,77631541.0,146661977.0
50.198,Sleeping Beauty,6.9,5119,6000000,tt0053285,75,65,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,51600000.0,0.0,51600485.0
76.465,The Blair Witch Project,6.3,4822,60000,tt0185937,81,25,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,140539099.0,108100000.0,248639099.0
76.366,Mulan,6.9,6627,200000000,tt4566758,115,4,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,69965374.0,69965374.0
76.185,Battle for the Planet of the Apes,5.7,926,1700000,tt0069768,93,51,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8844595.0,0.0,8844595.0
76.0,Love Actually,7.116,6616,40000000,tt0314331,135,21,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,60221410.0,189550818.0,250215630.0
